var1,var2,pearson_r
Filling_Time,Max_Switch_Over_Pressure,0.9978
Injection_Time,Max_Injection_Speed,-0.9972
Filling_Time,Max_Injection_Speed,-0.9968
Plasticizing_Position,Clamp_Open_Position,0.9968
Max_Injection_Speed,Max_Switch_Over_Pressure,-0.9966
Plasticizing_Position,Max_Switch_Over_Pressure,0.9963
Filling_Time,Plasticizing_Position,0.9954
Plasticizing_Position,Max_Injection_Speed,-0.9947
Barrel_Temperature_2,Barrel_Temperature_3,0.9929
Injection_Time,Filling_Time,0.9924
Clamp_Open_Position,Max_Switch_Over_Pressure,0.9923
Injection_Time,Max_Switch_Over_Pressure,0.9914
Filling_Time,Clamp_Open_Position,0.9898
Clamp_Open_Position,Max_Injection_Speed,-0.9888
Injection_Time,Plasticizing_Position,0.9865
Plasticizing_Time,Barrel_Temperature_5,-0.9827
Injection_Time,Plasticizing_Time,0.9791
Injection_Time,Clamp_Open_Position,0.9782
Barrel_Temperature_3,Barrel_Temperature_5,0.9771
Barrel_Temperature_2,Barrel_Temperature_5,0.9731
Plasticizing_Time,Max_Injection_Speed,-0.973
Injection_Time,Max_Back_Pressure,-0.9728
Cycle_Time,Clamp_Close_Time,-0.9701
Plasticizing_Time,Max_Back_Pressure,-0.9665
Filling_Time,Plasticizing_Time,0.9657
Barrel_Temperature_5,Barrel_Temperature_6,0.9627
Max_Injection_Speed,Max_Back_Pressure,0.9627
Plasticizing_Time,Max_Switch_Over_Pressure,0.962
Plasticizing_Time,Barrel_Temperature_6,-0.9613
Max_Back_Pressure,Barrel_Temperature_5,0.9608
Injection_Time,Barrel_Temperature_5,-0.9602
Plasticizing_Time,Plasticizing_Position,0.96
Cycle_Time,Clamp_Open_Position,-0.9579
Mold_Temperature_3,Mold_Temperature_4,0.9577
